weather_code,temperature_2m_max,temperature_2m_mean,sunshine_duration,precipitation_sum,rain_sum,wind_speed_10m_max,label
61,30.3,25.9,36537.33,3.4,3.4,7.7,la nina
63,30.8,26.2,35261.71,9.4,9.4,7.4,la nina
61,30.8,26.2,31246.87,3.4,3.4,9.8,la nina
63,28.1,25.4,21062.47,17.8,17.8,8.7,la nina
63,28.8,25,13211.89,17.5,17.5,9.9,la nina
65,28.9,25.1,19860.79,17.5,17.5,13.6,la nina
53,31.7,26.7,38008.62,1.1,1.1,14.4,la nina
63,30.4,26.2,35300.77,7.1,7.1,12,la nina
63,29.6,25.8,33619.47,14.6,14.6,10.7,la nina
63,29.3,25.7,29784.81,19.1,19.1,12.9,la nina
63,29.7,25.5,22471.17,16.9,16.9,8.7,la nina
63,31,26.1,30711.72,5.6,5.6,14.2,la nina
63,30.8,25.8,25665.66,20.5,20.5,13.7,la nina
55,29.3,25.7,26378.98,2.1,2.1,10.4,la nina
63,30.5,26,35500.39,3.8,3.8,13.7,la nina
63,30.4,25.8,32728.91,14.8,14.8,11.3,la nina
63,30.5,26.2,28885.35,6.2,6.2,13.6,la nina
53,31,26.7,39501.39,1.9,1.9,14.6,la nina
61,29.8,26.2,39495.11,3.2,3.2,16.5,la nina
53,30,26,39488.33,1.6,1.6,12.7,la nina
55,30,25.9,39481.09,2.7,2.7,12.3,la nina
63,30.3,26,31617.08,8.9,8.9,8.4,la nina
63,28.8,25.5,31187.16,19.4,19.4,11.5,la nina
63,30.3,26.1,29531.73,7,7,9.4,la nina
63,30.4,26.4,24431.53,10.9,10.9,10.3,la nina
63,30.7,26.6,37765.52,7.6,7.6,8.3,la nina
63,30,26.2,25964.32,11.3,11.3,9.7,la nina
61,30.3,26.7,28857.49,3.7,3.7,8.7,la nina
63,29.3,25.7,33385.21,14.4,14.4,11.5,la nina
63,29.6,26.4,35073.69,12.2,12.2,10.5,la nina
55,29.4,26.1,39386.16,3.5,3.5,11.6,la nina
61,29.3,26.3,39374.79,4.6,4.6,10.2,la nina
61,30.6,26.3,39363.14,9.1,9.1,10.3,la nina
63,29.3,25.4,25952.16,12.1,12.1,12,la nina
65,28.9,25.1,20623.82,17.6,17.6,11,la nina
63,29.1,25.5,25711.19,17.3,17.3,12.4,la nina
63,29.3,25.2,29560.81,8.1,8.1,13,la nina
51,30.1,26.4,39301.46,0.6,0.6,12.6,la nina
3,31.4,26.9,39288.34,0,0,18.3,la nina
63,30.8,26.4,33135.35,6.2,6.2,5.4,la nina
63,26.7,24.1,14736.25,14.7,14.7,10.6,la nina
53,29.4,25.4,35274.6,2.3,2.3,9.6,la nina
63,31.3,26.5,39230.72,6.9,6.9,10.3,la nina
61,30.1,25.3,36544.14,3.9,3.9,12.7,la nina
61,31.1,25.7,35599.64,3.3,3.3,11.4,la nina
63,30.2,25.2,36671.07,10.1,10.1,12.7,la nina
63,27,24.8,10627.99,8.8,8.8,8,la nina
65,29.3,25.6,39151.45,11,11,10.2,la nina
63,28.6,25,39069.94,7.6,7.6,10.5,la nina
63,29.4,25.3,31918.95,11.6,11.6,11.9,la nina
63,28.7,25.3,29653.05,7.7,7.7,10.2,la nina
63,28.6,24.9,24529.61,8.6,8.6,10.7,la nina
51,30.6,26,35362.02,0.6,0.6,11.7,la nina
63,30.6,25.3,29509.13,15.1,15.1,12.5,la nina
61,29.3,25,33160.2,5.7,5.7,8.1,la nina
51,29.6,25.7,36750.48,1.8,1.8,8.1,la nina
65,29.5,25.2,24609.99,23.6,23.6,9.8,la nina
63,29.2,25.1,35079.92,7.6,7.6,9.5,la nina
63,28.6,24.4,25214.28,12,12,10.5,la nina
63,27.4,25,18450.28,7.7,7.7,9.1,la nina
61,29.8,25.7,33341.2,2.1,2.1,16.6,la nina
63,28.3,24.9,27694.08,18,18,10.5,la nina
55,27.9,24.7,25381.76,1.7,1.7,8.9,la nina
63,28.9,24.9,37002.15,8.9,8.9,11.4,la nina
63,28.8,24.7,38894.89,8.9,8.9,15.2,la nina
63,29.1,25.3,38880.65,5.8,5.8,17.1,la nina
51,30,25.7,38866.64,0.6,0.6,17.6,la nina
51,29.8,26.1,38852.95,0.4,0.4,19.1,la nina
55,29,25.4,38839.61,3.6,3.6,19.1,la nina
53,29.1,25.8,38826.71,0.9,0.9,19.4,la nina
61,28.3,25.4,36555.66,5,5,14.4,la nina
55,28.6,25.5,36315.84,3.4,3.4,18.5,la nina
51,28.2,25.3,38791.25,1.2,1.2,20.2,la nina
3,28.9,25.2,38780.72,0,0,16.5,la nina
2,28.7,24.8,38770.94,0,0,14.2,la nina
53,28.7,24.9,38761.98,2,2,15.5,la nina
63,29.4,25.2,28786.34,29.6,29.6,11.9,la nina
63,29.6,25.5,33049.75,13.4,13.4,11.5,la nina
61,29.5,25.4,34993.3,3.5,3.5,12.4,la nina
63,29.1,25.4,33780.46,9.1,9.1,10.1,la nina
65,30.4,25.3,32822.25,23.5,23.5,11.6,la nina
63,29.6,25.4,31933.61,11,11,10.2,la nina
63,26.4,24.5,14383.15,18.1,18.1,9.7,la nina
63,30,25.5,30837.57,12.4,12.4,11.2,la nina
63,29.9,25.5,35592.34,8.7,8.7,14,la nina
65,28.1,24.5,19191.16,29.5,29.5,12.5,la nina
61,29.5,25.3,33812.68,4.4,4.4,14.3,la nina
61,30.1,25.2,30123.68,6.8,6.8,12,la nina
51,30,25.9,36890.18,1.1,1.1,12.8,la nina
51,30.5,26.2,41108.99,0.2,0.2,15.5,la nina
51,30.1,26,37954.86,1.4,1.4,14.3,la nina
63,29.2,25.5,37974.4,5.2,5.2,12.4,la nina
63,28.6,25.1,34678.33,10.8,10.8,11.8,la nina
63,27.7,24.4,24832.45,10.2,10.2,14.3,la nina
63,29.8,25,36788.25,9.9,9.9,16.6,la nina
61,28,25.1,17017.26,5,5,14.8,la nina
63,29.2,25.1,24552.84,14,14,13.4,la nina
65,27.6,24.4,7909.04,44.5,44.5,12,la nina
51,30.5,26,40836,0.8,0.8,9.9,la nina
55,30.5,26.4,32796.19,2,2,11.5,la nina
63,30.1,25.7,36036.34,14.8,14.8,13.1,la nina
53,29.9,25.6,35573.59,2.6,2.6,14.3,la nina
63,31.1,26.1,39818.13,3.4,3.4,13.7,la nina
63,30.9,26.1,39600,5.6,5.6,9.7,la nina
53,30.2,26.1,39396.43,1.5,1.5,11.8,la nina
65,30.1,25.5,39712.31,22.8,22.8,12.6,la nina
63,29.4,25.1,26398.8,11.1,11.1,10.8,la nina
65,30.3,25.5,29288.04,28.6,28.6,11.2,la nina
63,29.3,25.3,27270.26,19.6,19.6,13.7,la nina
61,30.2,25.8,36946.51,7.4,7.4,11.2,la nina
63,28.7,24.9,33411.91,24.4,24.4,11.8,la nina
63,28.5,24.5,15731.16,22.4,22.4,9.4,la nina
63,29.3,25.4,27031.13,7.7,7.7,17.9,la nina
51,31.1,26.5,36616.83,0.1,0.1,16.5,la nina
63,30.6,25.6,28817.22,9.7,9.7,13.8,la nina
3,27.9,25.2,13474.16,0,0,11.6,la nina
51,28,25.1,1867.71,0.1,0.1,13,la nina
3,30.5,26,32027.88,0,0,12.8,la nina
51,31.3,26.7,38182.47,0.3,0.3,9.2,la nina
53,30.3,26.5,25751.38,2.3,2.3,8.7,la nina
51,30.9,26.5,31267.95,1.5,1.5,9.9,la nina
51,31.2,26.7,39827.68,0.9,0.9,9.2,la nina
65,31.9,26.3,39527.43,16.5,16.5,9.4,la nina
63,31,25.7,32335.12,11.2,11.2,16.7,la nina
63,29.9,25.6,28309.21,9.4,9.4,12.5,la nina
63,30,25.3,28320,12,12,11.7,la nina
63,30.1,25.9,39316.52,5.2,5.2,8.5,la nina
63,30.3,26,37523.02,10.8,10.8,11.4,la nina
63,30.4,25.4,29066.32,13.8,13.8,9.4,la nina
65,30,25.3,36538.71,27.8,27.8,13,la nina
53,30.1,25.6,38098.79,0.8,0.8,13.6,la nina
2,30.8,26.1,37467.24,0,0,7,la nina
51,31.5,27,40343.99,0.2,0.2,8,la nina
53,31.1,26.8,39600,3.7,3.7,8.7,la nina
63,31.5,26.1,39026.12,19.9,19.9,15.5,la nina
63,31.1,26.1,36000,13.7,13.7,12.7,la nina
63,31.8,26.8,40341.83,6,6,11.8,la nina
65,30.1,25.3,26238.96,22.5,22.5,12.9,la nina
63,30.6,26.3,30539.75,10,10,10,la nina
51,30.6,26.3,32797.8,0.2,0.2,9,la nina
51,28.7,26,21190.93,1.8,1.8,7.9,la nina
63,31.2,26.1,27973.45,11.5,11.5,9.8,la nina
53,30.7,26.2,21020.46,2.9,2.9,7.7,la nina
63,30.5,25.8,34389.15,6.9,6.9,10.7,la nina
63,28.5,25.3,25452.12,22.8,22.8,12.7,la nina
61,30,25.7,27960.91,7.2,7.2,8.9,la nina
65,30.5,26,36737.36,21.9,21.9,12.7,la nina
63,30.4,25.4,18083.92,26.7,26.7,15.1,la nina
65,30.3,25.7,36440.04,38.2,38.2,12.6,la nina
65,30.8,25.8,27309.41,30.4,30.4,11.8,la nina
63,30.5,26,28658.93,12.4,12.4,7.9,la nina
65,30.2,25.6,30309.13,23.4,23.4,12.3,la nina
61,29.4,25.3,33578.48,9.1,9.1,10.5,la nina
53,31,26.4,33982.31,1,1,15.8,la nina
3,31.7,27.3,39309.47,0,0,12,la nina
3,30.8,27,25191.35,0,0,12.1,la nina
63,32.5,26.9,40783.64,4.6,4.6,12.6,la nina
51,32.4,27.5,41159.77,0.2,0.2,13.2,la nina
51,31.9,26.9,37929.99,0.2,0.2,7.9,la nina
55,31.9,27.3,37863.56,2.4,2.4,11.5,la nina
63,30.1,26.3,34186.7,28.9,28.9,8.8,la nina
51,31.5,27.2,41113.95,0.7,0.7,9.9,la nina
51,32,27.3,41102.2,0.8,0.8,11.2,la nina
63,31.6,27.3,41090.36,7.7,7.7,11,la nina
63,30.7,26.8,38195.95,7.4,7.4,12.7,la nina
63,30.7,25.9,39053.23,10.8,10.8,13,la nina
51,26.1,21.1,38957.91,0.1,0.1,11.5,el nino
3,26.8,21.8,39189.95,0,0,11.1,el nino
3,26.9,21.9,38929.27,0,0,8.5,el nino
51,26.1,21.7,38749.86,0.3,0.3,8.4,el nino
51,26.3,21.6,37710.32,1.1,1.1,7.9,el nino
63,23.5,20.7,20698.79,10.9,10.9,8,el nino
63,24.8,21.3,35627.59,15.6,15.6,9,el nino
63,25.3,21,38483.7,8,8,7.4,el nino
53,26.1,20.8,38469.07,3.6,3.6,10.1,el nino
2,26,20.7,39001.44,0,0,10.6,el nino
3,25.9,20.9,38987.92,0,0,9.2,el nino
51,26.2,20.5,38717.26,0.2,0.2,13.5,el nino
61,26.7,21.5,38529.54,2.6,2.6,9.7,el nino
53,25.7,21.2,36356.98,2.4,2.4,11.9,el nino
51,25.6,20.5,38409.14,0.3,0.3,8.4,el nino
63,24.4,19.9,23135.02,11.5,11.5,7.6,el nino
3,25.1,21.2,31816.07,0,0,8.2,el nino
53,25.6,21.1,38331.54,1.2,1.2,9.4,el nino
61,26.3,20.6,36583.65,4.4,4.4,13.1,el nino
53,25.5,20.5,38302.5,1.1,1.1,9.7,el nino
63,26,21,33576.88,8,8,9.4,el nino
3,26.5,21.5,38659.87,0,0,11,el nino
51,25.6,21,38462.56,0.8,0.8,7.6,el nino
61,25.3,20.8,38368.28,4.4,4.4,6.6,el nino
53,25.7,21.3,38368.37,3.1,3.1,7.7,el nino
3,25.5,20.9,39083.54,0,0,9,el nino
51,25.8,21,38981.67,1.5,1.5,8.4,el nino
51,26.4,21.5,38974.41,0.2,0.2,9.1,el nino
51,26.6,22.2,38775.57,1.2,1.2,6.4,el nino
2,27.1,21.6,39153.38,0,0,10.9,el nino
51,26.6,21.7,38662.44,0.2,0.2,8,el nino
2,27,21.5,38263.31,0,0,10.1,el nino
3,26.5,21.6,38646.16,0,0,8.7,el nino
51,27,21.8,38219.77,0.3,0.3,7.7,el nino
51,27.1,21.5,38631.16,0.2,0.2,12.1,el nino
63,24.1,20.8,36844.42,7.6,7.6,5.6,el nino
65,23.1,20.6,19135.45,54.3,54.3,8,el nino
